month,compound,rolling_avg
2018-04,0.09860566595500082,
2018-05,0.0831086442339105,
2018-06,0.08989627484627484,0.09053686167839538
2018-07,0.09890806257521059,0.09063766055179866
2018-08,0.08478582059533388,0.09119671933893976
2018-09,0.07681813820821988,0.08683734045958813
2018-10,0.06444081239041496,0.07534825706465624
2018-11,0.08667369686682226,0.07597754915515237
2018-12,0.07945087887503995,0.07685512937742572
2019-01,0.07879564849425207,0.08164007474537142
2019-02,0.08398054407981917,0.08074235714970374
2019-03,0.12347534775888716,0.09541718011098614
2019-04,0.06763384974054298,0.09169658052641644
2019-05,0.050032949357308426,0.08038071561891286
2019-06,0.06081309497535497,0.059493298024402126
2019-07,0.07743985578207069,0.06276196670491137
2019-08,0.13940695139911635,0.09255330071884733
2019-09,0.14600174698795182,0.12094951805637962
2019-10,0.179156185020157,0.15485496113574174
2019-11,0.1428458198051948,0.15600125060443457
2019-12,0.1735122666036398,0.16517142380966388
2020-01,0.1560035631293571,0.15745388317939724
